vendor_normalized,sum_effective_value
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,7813646.05
MINDWIRE SYSTEMS,2988689.91
MAPLESOFT CONSULTING,2899670.40
ELSEVIER,2046941.95
FUJITSU,1614873.49
OTTAWA MARRIOTT,1514376.00
CANADIAN CORPS OF COMMISSIONAIRES,1188473.28
ORACLE CANADA,1069873.46
MICROSOFT CANADA,844083.39
MANPOWER SERVICES CANADA,785568.56
SOFTCHOICE,742730.36
DELL COMPUTER,552262.28
DELOITTE AND TOUCHE,463300.00
PRINTERS PLUS,451179.11
NEWFOUND RECRUITING,439006.00
SOMOS,412173.15
COMPUCOM CANADA,378744.05
SI SYSTEMS,377323.00
DELTA OTTAWA CITY CENTER,365285.63
PROCOM CONSULTANTS,362104.00
EDGAR,355090.00
GARTNER,316914.25
9288 7231 QUEBEC LA PLAZA PLAZA GATINEAU,296715.00
INFO TECH RESEARCH GROUP,295563.00
GOSS GILROY,293814.51
LORD ELGIN HOTEL,290071.07
NORTHERN MICRO,257268.99
NISHA TECHONOLOGIES,248022.66
ITEX,246325.66
DYNAMIC PERSONNEL CONSULTANTS 1019837 ONTARIO,244800.69
CONEXSYS,243623.71
TELECOM COMPUTER SERVICES,225314.42
EXCEL HUMAN RESOURCES,224304.67
LIONBRIDGE,216259.00
CORRECTOUT,215700.01
ERNST YOUNG,211310.00
CLARIVATE ANALYTICS,207392.86
TRADUCTION G OUELLET,203225.00
RANDSTAD,200344.00
SMARTLAB,198395.00
ADVANCED CHIPPEWA TECHNOLOGIES,194965.00
TEKNION,193355.00
FREEBALANCE,190938.55
ODGERS BERNDSTON OTTAWA,182191.00
ACTION PERSONNEL,174093.00
HOTEL INDIGO,163765.20
OTTAWA CONFERENCE AND EVENT CENTRE,161494.00
ROBERT HALF CANADA,153228.00
SERVICES LINGUISTIQUES VERSACOM,152463.00
PROGRAM EVALUATION AND BEYOND,136165.00
ADVANCED BUSINESS INTERIORS,130318.00
THE AIM GROUP,130176.00
HOTEL PLAZA DE LA CHAUDIERE,126106.00
DONNA CONA,123693.30
BDO CANADA,121456.67
CNW GROUP,113565.00
TERAMACH TECHNOLOGIES,111933.32
CANADIAN PRESS ENTERPRISES,109331.65
IBM CANADA,107448.37
BELL CANADA,104900.15
PROTAK CONSULTING GROUP,95937.00
MAXSYS,94416.23
ST MICHAELS HOSPITAL,94368.00
PATON ASSOCIATES,91784.25
SERENA SOFTWARE,89296.74
CASEWARE IDEA,87747.32
AUBUT ASSOCIATES,87575.00
OPTRICS OPTRICS A PARTNERSHIP,87006.13
GESTALT COLLECTIVE,80628.10
OTTAWA SECURITY SYSTEMS COMMUNICATIONS,78448.03
SAMSON ET ASSOCIES,74919.00
8937753 CANADA,74580.00
SHERATON GATEWAY HOTEL,74359.00
EAGLE PROFESSIONAL RESOURCES,74298.00
THE METCALFE HOTEL,74289.37
OTTAWA MARRIOTT HOTELS,73984.34
THOMSON REUTERS SCIENTIFIC,73876.85
CGI,72665.81
MDOS CONSULTING,72122.25
I4C CONSULTING,69834.00
RFP SOLUTIONS,69664.50
OTTAWA SECURITY SYSTEMS,69036.00
DRUIDE INFORMATIQUE,68997.49
JOHNSTON RESEARCH,67687.00
GROUPE VOXCO,65412.88
INSTITUTE ON GOVERNANCE,65268.80
