vendor_normalized,sum_effective_value
MACDONALD DETTWILER AND ASSOCIATES,833560925.87
EMS TECHNOLOGIES,174102349.83
EXACTEARTH,53085239.74
HONEYWELL,46032191.11
NEPTEC DESIGN GROUP,39767633.62
ABB,23104205.52
CANADIAN CORPS OF COMMISSIONAIRES,18127935.04
SED SYSTEMS,13612567.60
THE UNIVERSITY OF CALGARY,12385932.17
CALIAN,11407764.10
MPB COMMUNICATIONS,11121395.86
ENGINEERING SERVICES,10226176.18
UNIVERSITY OF WATERLOO,9648851.26
L3 COMMUNICATIONS,9476250.72
BEAUDOIN CANADA,9384445.62
COMMUNICATIONS POWER,9233971.60
NORTHERN CENTRE FOR ADVANCED,8019284.77
MAGELLAN AEROSPACE,7483927.15
CARRE TECHNOLOGIES,7185694.42
AV TECH,5615212.52
INSTITUT NATIONAL DOPTIQUE,5255094.65
POLYVAL CONSTRUCTION,5245133.03
YORK UNIVERSITY,5208452.30
UNIVERSITY OF GUELPH,5033262.89
C CORE,4153449.51
ITRES RESEARCH,3908787.62
LAURIN COMPANY,3738850.86
UNIVERSITY OF SASKATCHEWAN,3651664.02
NISHA TECHONOLOGIES,3575126.02
UNIVERSITY OF GUELPH OFFICE OF RESEARCH,3391929.00
UNIVERSITE DE MONTREAL,3384928.63
CANDEV CONSTRUCTION,3242405.32
WILDY ENTERPRISES,3086530.94
NUVU CAMERAS,2763533.14
LES ENTREPRISES FERVEL,2756019.72
UNIVERSITY OF TORONTO,2738660.45
ARIZONA BOARD OF REGENTS,2701218.47
UNIVERSITY OF ALBERTA,2624750.67
THE GOVERNING COUNCIL OF THE,2585684.03
DYNAVAC,2550390.75
CANADENSYS AEROSPACE,2547660.20
LANSDOWNE TECHNOLOGIES,2464585.82
ADVANCED ELECTROMAGNETICS,2457268.22
NGC AEROSPATIALE,2396537.04
AECOM,2304151.12
BRISTOL AEROSPACE,2235810.37
ORACLE CANADA,2198925.08
ANALYTICAL GRAPHICS,2184200.35
DELL COMPUTER,2178819.67
