vendor_normalized,sum_effective_value
SIGNATURE SUR LE SAINT LAURENT,699236365.29
ARUP CANADA,14748065.55
IT NET CONSULTANTS,14224152.70
CORADIX TECHNOLOGY CONSULTING,7133173.03
PARTENARIAT NOUVEAU PONT SAINT LAURENT,5748750.00
CONSTRUCTION KIEWIT CIE,3736687.50
LABO S M GROUPE ABS,3410240.61
COSSETTE COMMUNICATIONS,3174354.95
DELOITTE AND TOUCHE,2828259.30
NISHA TECHONOLOGIES,2653213.44
EXCEL HUMAN RESOURCES,2153296.38
TEKNION,1919732.19
NORTHERN MICRO,1885035.78
QMR,1840447.08
CANON,1758632.10
GRAYBRIDGE INTERNATIONAL CONSULTING,1693130.00
GCSTRATEGIES,1568914.64
LABO S M GROUP ABS EN CONSORTIUM,1547029.69
PRICEWATERHOUSE COOPERS,1482684.54
ORACLE CANADA,1381862.01
KIEWIT CANADA DEVELOPMENT,1341375.02
MICROSOFT CANADA,1227807.72
ALTIS HUMAN RESOURCES,1172015.99
KPMG,1052846.99
GARTNER,1024675.98
IBM CANADA,976441.92
INSIGHT SOFTWARE CANADA,900769.20
CANADIAN CORPS OF COMMISSIONAIRES,745388.22
ANTHONY MACAULEY ASSOCIATES,713104.58
SKANSKA INFRASTRUCTURE DEVELOPMENT,670687.50
PORTAGE PERSONNEL,669235.01
RAYMOND CHABOT GRANT THORNTON,589738.10
ABI ADVANCED BUSINESS INTERIORS,584014.69
CBCI TELECOM CANADA,570217.04
QUALLIUM,562686.61
MDOS CONSULTING,528275.01
BDO CANADA,517617.97
CEDROM SNI,471234.11
SAMSON ASSOCIATES CPA CONSULTING,459956.92
ECOLE DE LANGUES NOUVEL ESPOIR,400000.00
NEWFOUND RECRUITING,391033.09
DALIAN ENTERPRISES,365604.72
SIMPLEX GRINNELL,356643.64
OPROMA,347429.80
THE RIGHT DOOR CONSULTING,310098.37
CONTRACT COMMUNITY,296868.80
3755479 CANADA MAXSYS PROFESSIONALS AND SOLUTIONS,290631.69
3755479 CANADA,273525.95
ADVANCED BUSINESS INTERIORS,243422.30
GOSS GILROY,238543.00
3852946 CANADA,236998.81
TRM TECHNOLOGIES,226001.13
PERFORMANCE MANAGEMENT NETWORK,223059.18
FMC PROFESSIONALS,217334.70
LANNICK CONTRACT SOLUTIONS,198637.50
SYSTEMSCOPE,195942.00
BP M GOVERNMENT IM IT,193908.00
WATERSHED INFORMATION TECHNOLOGY,191277.36
ERNST YOUNG,186856.81
MEDIA Q,182111.00
SAMSON ASSOCIATES CONSULTING,180800.01
CLOSEREACH,180702.97
HAWORTH,179247.52
CANADIAN PRESS ENTERPRISES,171335.12
PROTAK CONSULTING GROUP,166994.23
ACME FUTURE SECURITY CONTROLS,162055.17
NOVA VISUAL PRODUCTS,153172.11
INFO TECH RESEARCH GROUP,152064.10
ECON,151872.00
RICOH,147519.37
MAVERIN,147261.60
JIM PATTISON INDUSTRIES,140919.01
ESPATIAL SOLUTIONS,134305.41
DONNA CONA,132664.26
ROBERT HALF OF CANADA,130485.36
SERGE PISAPIA,128791.41
CALIAN,127938.60
TETRA TECH QI,125341.05
SOFTCHOICE,121760.47
ACOLE DE LANGUES NOUVEL ESPOIR,120000.00
TETRAD COMPUTER APPLICATIONS,118351.96
STEELCASE CANADA,118254.57
CARON PROFESSIONAL LINGUISTIC,117924.40
PUBLIVATE,116452.15
TECSIS,113000.00
QUIRC QUALITATIVE INSIGHTS,109380.61
CAPITAL OFFICE INTERIORS,109364.35
TEKSYSTEMS CANADA,107508.20
BBG MANAGEMENT,103108.66
LES TECHNOLOGIES STAY,103056.00
CDW CANADA,102136.63
BELL CANADA,98668.24
GASTON R LANGLOIS,96579.00
KORN FERRY HAY GROUP,95767.50
GOLDER ASSOCIATES,94637.50
ODGERS BERNDTSON,93790.00
SERGE PISAPIA EXPERT CONSEIL,93776.49
DESIGN 2000 COMMUNICATIONS,93165.77
ANET SOLUTIONS,89307.74
XEROX,88388.35
PRIVACY IN DESIGN,87343.35
RUTHERFORD MCKAY ASSOCIATES,87198.33
IT SERVICES CANADA,84128.00
DYNAMIC PERSONNEL CONSULTANTS,84010.58
HYPERTEC,83101.33
TURTLE ISLAND STAFFING,79305.67
YU CENTRIK,77041.71
SHERI L HORD,74580.00
MARKETWIRE CANADA,74580.00
3354709 CANADA,74322.93
MARILYN THERIAULT,73732.50
THE AIM GROUP,72406.09
EBSCO CANADA,71336.34
MINTO COMMERCIAL PROPERTIES,70497.00
INTERGAGE CONSULTING GROUP,70437.14
GASTON LANGLOIS,70019.78
TOYOTA CANADA,67338.16
DMTI SPATIAL,66423.66
CNW GROUP,65342.25
GLOBAL UPHOLSTERY COMPANY,64628.51
LES TECHNOLOGIES STA,62343.75
7792395 CANADA,62098.40
LANDSDOWNE TECHNOLOGIES,61462.40
AMJ CAMPBELL VAN LINES,59779.65
CONTRACT FURNITURE SOURCE,58871.28
BRC BUSINESS ENTERPRISES,56093.17
ROBERTSON COMPANY,55935.00
MAXSYS STAFFING CONSULTING,55542.23
ADVANCED CHIPPEWA TECHNOLOGIES,55247.15
ESRI,54566.10
CLA PERSONNEL,53194.75
SPIRIT PERSONNEL,52609.47
CANADIAN PRESS THE,51938.28
WALTER ZUBRYCKY,51083.75
3135551 CANADA,49913.80
LUMINA IT,49900.80
THE RIGHT DOOR CONSULTING SOLUTIONS,49437.50
COMPUTER MEDIA GROUP THE,48811.40
FLEMING COMMUNICATIONS,48693.05
TOUCHSTONE SOLUTIONS,48106.00
ARTOPEX PLUS,46071.26
CSDC SYSTEMS,46037.38
FORD MOTOR COMPANY,45690.42
MITSUBISHI MOTOR SALES OF CANADA,44933.89
KELLY SEARS CONSULTING GROUP,44493.75
SI SYSTEMS,44288.31
WOLTERS KLUWER,44119.72
VELO QUEBEC ASSOCIATION,42720.63
AON CANADA,41467.83
OLAV CONSULTING,40151.16
ALGONQUIN COLLEGE,40092.40
CISTEL TECHNOLOGY,39668.65
PUBLICOM INFORMATIQUE,39371.88
TOTEM OFFISOURCE,38557.96
BARBARA PERSONNEL,38307.00
SCIENCE METRIX,38193.75
PRINTERS PLUS,37773.33
SERVICES LINGUISTIQUES LAROCQUE,37572.50
2313 7292 QUEBEC,36662.08
ORBIS RISK CONSULTING,36216.50
ALLSEATING,35500.38
SHI CANADA,34231.47
CANSEL SURVEY EQUIPMENT,33201.66
ASSOCIATES GROUP OF COMPANIES,33178.16
DARE HUMAN RESOURCE,31786.90
PHOTOCOPIES JOLIETTE LTAE,31654.98
1092009 ONTARIO,30497.34
3005526 CANADA,30000.00
COFOMO,28476.00
PHASELOCK SYSTEMS INTERNATIONAL,28429.22
BOUTY,28392.36
ACCESS INFORMATION AGENCY,28329.10
LIONBRIDGE,28250.00
PREVOST FORTIN DAOUST,28250.00
ROY BRETON,27831.36
INFORMATION AND COMMUNICATIONS TECHNOLOGY COUNCIL OF CANADA,27120.00
UPSTREAM BUSINESS SOLUTIONS,25990.00
BETTY ANN M TURPIN CONSULTANTS,25988.03
DAVID P AMBORSKI ASSOCIATES,25425.00
AARDVARK INSIGHTS,24999.52
GRAYTEK MANAGEMENT,24990.00
VANCITY COMMUNITY FOUNDATION,24976.00
URBAN DESIGN 4 HEALTH,24951.36
ICF CONSULTING CANADA,24950.40
TECHNOLOGIES OPA,24950.00
URSUS RESILIENT STRATEGIES,24916.50
EBBWATER CONSULTING,24905.20
MATTHEW SIEMIATYCKI,24860.00
MANIFEST COMMUNICATIONS,24860.00
ETHELO DECISIONS,24860.00
NASDAQ CORPORATE SOLUTIONS CANADA FORMERLY DISCLOSED UNDER THE NAME OF MARKETWIRE CANADA,24860.00
PAUL MACNEIL,24789.38
LISA CORMIER,24747.00
7260491 CANADA,24718.75
CITY AND COUNTY OF DENVER,24700.00
BRYNE PURCHASE STRATEGIES,24675.00
VALO QUABEC ASSOCIATION,24650.64
LEAN AGILITY,24605.75
WORKPLACE SAFETY AND PREVENTION SERVICES,24577.50
RV ANDERSON ASSOCIATES,24577.50
