vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,30176620.65
CGI,26978087.96
CARSWELL,26795739.27
LEXISNEXIS CANADA,11179865.28
ALTIS HUMAN RESOURCES,10051146.73
SOFTCHOICE,9435621.64
NORTHERN MICRO,8523331.83
AMS IMAGING 1998,8125045.82
MICROSOFT CANADA,4853574.01
MODIS CANADA,4659981.39
4 OFFICE AUTOMATION,4372916.42
RICOH,4302453.21
TOSHIBA OF CANADA,4289777.15
NISHA TECHONOLOGIES,4096846.23
GSI INTERNATIONAL GROUP,4070051.70
IRON MOUNTAIN CANADA,3991593.86
HYPERTEC,3518898.71
PRA,3296885.67
CANADIAN DEVELOPMENT CONSULTANTS,3290000.00
ADVANCED BUSINESS INTERIORS,3258111.17
COFOMO,3042787.21
CACHE COMPUTER CONSULTING,2979089.97
EVIDENCE SOLUTIONS,2909487.00
COSSETTE COMMUNICATIONS,2814360.53
CYBERBAHN,2800648.50
NAVPOINT CONSULTING GROUP,2791222.48
THE AIM GROUP,2772561.24
OPROMA,2714183.51
ORANGUTECH,2662784.25
VISARD SOLUTIONS,2651469.55
IBISKA TELECOM,2546864.91
FTI REPOSITORY SERVICES,2503313.73
CETTEC DIGITAL IMAGING,2495043.37
LEGAL PRINT COPY,2382789.48
CIA,2341442.73
ZERNAM ENTERPRISE,2330117.34
MAPLESOFT CONSULTING,2104036.26
FLEMING COMMUNICATIONS,2081604.60
GARTNER,2047576.22
INNOVATIVE INTERFACES CANADA,2002108.61
CDW CANADA,1907250.26
SAMSON ASSOCIAS,1828448.81
ADVANCED CHIPPEWA TECHNOLOGIES,1812892.62
XEROX,1789798.61
TERAMACH TECHNOLOGIES,1777634.17
QMR,1760773.74
IT NET CONSULTANTS,1707728.10
GIBRALTAR SOLUTIONS,1684014.46
CBCI TELECOM CANADA,1657515.63
BELL DISTRIBUTION,1629753.07
ERNST YOUNG,1576789.72
SAMSON ASSOCIES,1529539.13
N12 CONSULTING,1514313.60
GOSS GILROY,1470966.42
LANSDOWNE TECHNOLOGIES,1453874.06
ACART COMMUNICATIONS,1390390.90
ST JOSEPH PRINT GROUP,1354865.95
FTI CONSULTING CANADA,1353868.24
SYSTEMSCOPE,1276017.97
MORNEAU SHEPELL,1272380.00
AMS IMAGING,1236948.99
UNIVERSITY OF OTTAWA,1234525.00
BAYSHORE HEALTHCARE,1216197.60
TRADUCTIONS TESSIER TRANSLATIONS,1184023.43
GSI INTERNATIONAL CONSULTING GROUP,1174861.90
INSTITUTE OF APPLIED HUMANITARIAN,1135964.40
REPORTEX AGENCIES,1101712.30
SI SYSTEMS,1093711.41
TRM TECHNOLOGIES,1084857.78
CANON,1035970.35
EXCEL HUMAN RESOURCES,1029515.50
KONICA MINOLTA BUSINESS SOLUTIONS,1022909.97
CORADIX TECHNOLOGY CONSULTING,1019370.93
MASHA KRUPP TRANSLATION GROUP,1018797.70
BMB DATA CONSULTING SERVICES,1016562.13
PROTAK CONSULTING GROUP,1008643.46
EKOS RESEARCH ASSOCIATES,969146.69
DONNA CONA,956133.13
SYSTEMATIX SOLUTIONS,934540.00
ARTEMP PERSONNEL,915334.68
DARE HR,895433.92
TELECOM COMPUTER SERVICES,893728.55
IKON DOCUMENT SERVICES T8009,891774.40
TEKSYSTEMS CANADA,884955.75
NATTIQ,884223.43
COMBAT NETWORKS,872253.33
MDOS CONSULTING,860517.60
PROCOM CONSULTANTS,844410.32
TEKNION,838099.26
FOCUS CONSULTANTS,832897.46
TITUS INTL ORANGUTECH,831087.47
BPM CONSULTING,816515.40
MEDIAMISER,815148.10
MAXSYS,803615.26
COMMONWEALTH LEGAL,774240.80
SOCIETE GAMMA,734199.79
TIREE,710917.96
STONEWORKS TECHNOLOGIES,709930.44
BEYOND TECHNOLOGIES CONSULTING,693732.23
HALIFAX GROUP THE,692774.75
LAFORTUNE LEGAL,686269.71
CCH CANADIAN,677709.02
PRECISIONERP,661994.18
PROACTIVE INFORMATION SERVICES,657208.00
FERENCE WEICKER COMPANY,653811.00
HEWLETT PACKARD,652029.36
DELL COMPUTER,646159.51
SHARP ELECTRONICS,633938.55
D4IS SOLUTIONS,626910.46
SAS INSTITUTE,616056.82
CBCI TELECOM,598975.24
SEE 121791 LEXISNEXIS CANADA,592200.00
CENTRE DE LANGUES INTERNATIONALES,580533.41
DELOITTE AND TOUCHE,565134.46
HUMBER INSTITUTE OF TECH,557507.67
INLAND AUDIO VISUAL,556877.07
PUBLIC HISTORY,547250.88
TESSIER TRANSLATION,544588.81
ADIRONDACK TECHNOLOGIES,531631.27
CHAREST REPORTING,528958.85
HAWORTH,526369.69
HORIZANT,524278.15
BELL CANADA,523892.26
KELLY SEARS CONSULTING GROUP,522964.00
HILL AND KNOWLTON,519829.20
CONTRACT COMMUNITY,517049.03
CISTEL TECHNOLOGY,513327.80
EVISION SOFTISM TECHNOLOGIES,511036.85
NEWBOOK PRODUCTION,507729.81
VERITAAQ TECHNOLOGY HOUSE,502594.35
OPENTEXT,494360.96
INTERNATIONAL REPORTING,491034.21
GLOBAL UPHOLSTERY,488872.54
IROSOFT,480897.05
RAYMOND CHABOT GRANT THORNTON,472207.08
HITACHI DATA SYSTEMS,470097.86
PRAIRIE RESEARCH ASSOCIATES,468294.60
ECOLE DE LANGUES ABCE,466613.05
AMITA,463498.32
DYE DURHAM,451197.60
MEDIA Q IN,426246.71
GLOBAL GROUP GLOBAL UPHOLSTERY,417511.96
ELYTRA ENTERPRISES,414045.46
ARTOPEX PLUS,409117.65
ADOBE,397717.45
RONALD BISSON ET ASSOCIAES,384982.73
KNOWLEDGE CIRCLE,384199.43
GENERAL DYNAMICS,372562.03
HENRI A LAF0RTUNE,370294.79
EDITIONS YVON BLAIS,370242.20
VALCOM CONSULTING,364870.22
PRIVASOFT,364384.64
PATON ASSOCIATES MANAGEMENT,350000.00
TURCOT DENISE,345581.88
ASOKAN BUSINESS INTERIORS,345516.36
CARAHSOFT TECHNOLOGY,343672.85
REQUEST OFFICE SERVICES,340691.54
MULTILINGUAL COMMUNITY INTERPRETER,339000.00
ASAP REPORTING SERVICES,338616.93
ALDERSON GILL AND ASSOCIATES,337163.02
AVANTSTAR,333922.71
PUROLATOR COURIER,332948.16
QUICK MESSENGER SERVICE,332102.77
RANDSTAD,327457.63
DBS INTERNATIONAL,326370.00
ROYAL REPORTING SERVICES,320500.00
WORKDYNAMICS TECHNOLOGIES,320346.30
HERJAVEC GROUP,317920.37
COLLIERS PROJECT LEADERS,317038.98
NOVA NETWORKS,314784.82
TOTEM OFFISOURCE,306786.83
FERENCE COMPANY CONSULTING,306000.00
THOMSON REUTERS,302521.91
VT CANADA LITIGATION SOLUTIONS,287948.64
SRA STAFFING SOLTUTIONS,287020.02
ECOLE DE LANGUES LA CITA,284862.30
CONTINUING LEGAL EDUCATION,282234.84
UWASE GEORGETTE,280875.40
GUILD YULE,279330.00
PRESS NEWS,274200.48
MALATEST ASSOCIATES,271469.72
PITNEY BOWES,266324.54
RHI MANAGEMENT RESOURCES,264600.00
COMMVAULT SYSTEMS,258330.48
QUINTET CONSULTING,254673.15
TOTAL MEDIA SYSTEMS,253667.29
IPSS,252686.96
BGIS,247973.06
CARON PROFESSIONAL LINGUISTIC,247309.23
KAVUTSE CLAUDE,245420.16
ERMS SOLUTIONS,241678.75
BURTON GROUP,241400.00
JANZEN WENDY,240139.81
GRAND AND TOY,239574.21
MUHIKIRA LEON MUDENDE,237149.36
CORRECTIONAL SERVICES OF CANADA,235432.05
MARITIME LAW BOOK,229797.42
AVI SPL,229714.28
SPEARHEAD MANAGEMENT,229188.00
SERVICES LINGUISTIQUES TACT 1986INC,226000.00
