vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,12104230.16
TIREE,5604858.67
CEV,3098714.90
MODIS CANADA,3006892.15
ADVANCED CHIPPEWA TECHNOLOGIES,2911962.43
MICROSOFT CANADA,2909311.34
ORANGUTECH,2395893.00
MOBILSHRED RECALL,1919291.18
IT NET CONSULTANTS,1883576.93
SI SYSTEMS,1160833.02
SYSTEMSCOPE,1061812.52
GARTNER,1011431.93
TITUS INTERNATIONAL,998688.89
OCLC CANADA,983444.52
EXCEL HUMAN RESOURCES,913796.73
CDW CANADA,890654.29
SHARP ELECTRONICS,883761.45
CORADIX TECHNOLOGY CONSULTING,830999.05
BONHAMS,724075.14
FREEBALANCE,697673.21
TEKSYSTEMS CANADA,630218.04
ORACLE CANADA,594641.28
CSDC SYSTEMS,592966.21
KL ARCHIVAL FILM EQUIPMENT 1479007 ONTARIO,559534.50
NISHA TECHONOLOGIES,547524.81
MISHKUMI TECHNOLOGIES,533932.65
LIVINGSTONE ENTERPRISES,496313.00
GEORGE BLOOD,479132.79
SPIRIT STAFFING 3852946 CANADA,476114.56
THE HALIFAX COMPUTER CONSULTING GROUP,472500.00
PRESERVATION TECHNOLOGIES,461858.72
TECKSYSTEMS CANADA,460302.41
RISTECH COMPANY,403727.99
WORKPLACE SAFEY PREVENTION SERVICES,400915.00
NORTHERN MICRO,387794.82
CANADIAN COUNCIL OF ARCHIVES,374880.51
MOERAE SOLUTIONS,340762.80
ONX ENTERPRISE SOLUTIONS,338651.98
FRONT PORCH DIGITAL,327241.78
NATIONAL ARCHIVAL APPRAISAL BOARD,313959.67
DAY ROSS,313241.12
NAVPOINT CONSULTING GROUP,309771.25
TERAMACH TECHNOLOGIES,309241.47
CONCETTI DESIGN,295293.66
GEORGE BLOOD AUDIO VIDEO,293956.00
INTER OUTAOUAIS,291392.64
TELECOM COMPUTER SERVICES,289440.86
PURESPIRIT SOLUTIONS,275651.48
BOUWDESIGN,262894.63
ITEX,257293.11
DELL COMPUTER,255244.32
ECLIPSYS SOLUTIONS,250836.63
OUTSELL,247897.65
MONTEL SMARTSPACE SOLUTIONS,245917.24
AVEPOINT CANADA,234928.87
ADIRONDACK TECHNOLOGIES FURNITURE,232444.84
SOFTCHOICE,232352.69
KNOWLEDGE INTEGRATED,229796.52
CLA PERSONNEL 3056058 CANADA,228170.56
EMSEC SOLUTIONS,224108.25
EXPOGRAPHIQ,222205.33
WORKPLACE SAFETY PREVENTION SERVICES,217373.36
THE AIM GROUP,208639.00
CARAHSOFT TECHNOLOGY,200764.04
INTERNET ARCHIVE CANADA,200000.00
GENESIS INTEGRATION,196058.90
ALTIS HUMAN RESOURCES,192457.71
HELENE BERNIER,192345.57
COLLABWARE SYSTEMS,186361.89
DELOITTE AND TOUCHE,182813.36
DER GRAPHICS,181105.30
DOCUCOM DIGITAL,180075.69
INTERNET ARCHIVES CANADA,180000.00
OPROMA,178701.81
SLBL MOVING 3354709 CANADA,175085.66
ADVANCED BUSINESS INTERIORS,172589.16
AMS IMAGING,172203.33
CANON,170765.05
WORKPLACE SAFETY PREVENTION,170112.88
VISTEK,167842.63
QUANTUM MANAGEMENT SERVICES,167425.63
JOHNSONS BUSINESS INTERIORS,164935.68
