vendor_normalized,sum_effective_value
NISHA TECHONOLOGIES,647584.12
TEKSYSTEMS CANADA,642265.32
SAMSON ASSOCIES CPA CONSULTATIONS,563936.09
AVI SPL CANADA,408860.18
SAMSON ASSOCIES CPA CONSULTING,339546.76
RAYMOND CHABOT GRANT THORNTON,335444.29
QMR,242313.12
MICROSOFT CANADA,238030.22
PURESPIRIT SOLUTIONS,225805.35
SAMSON ASSOCIATES CPA CONSULTING,218973.38
SOFTCHOICE,159391.28
NEWFOUND RECRUITING,153405.44
ADGA GROUP,142890.93
SRA STAFFING SOLUTIONS,139995.70
INFO TECH RESEARCH GROUP,134020.00
TURTLE ISLAND STAFFING,123582.09
ALTIS HUMAN RESOURCES,104597.26
RICOH,101283.32
OPENTEXT,99417.36
INSA,99084.24
LEAN AGILITY,96505.18
BOYDEN OTTAWA,94908.87
WORKDYNAMICS TECHNOLOGIES,89193.65
BROOKFIELD ASSET MANAGEMENT,82729.94
SAMSON ASSOCIES CPA CONSULTATION,75969.74
CRESTRON CANADA C O AVI SPL,69729.53
GENESIS INTEGRATION,61932.79
GARTNER,61291.20
NVISION INSIGHT,54091.41
MCCABE PROMOTIONAL ADVERTISING,53756.57
FREEMAN AUDIO VISUAL,50878.36
ASOKAN BUSINESS INTERIORS,48852.87
CONVERSART CONSULTING,48520.80
MAXSYS STAFFING CONSULTING,47541.01
EXCEL HUMAN RESOURCES,44236.50
MICHEL ROBICHAUD,43028.69
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,41390.98
PROCOM CONSULTANTS,38657.00
POLYCOM,37755.51
NEWS CANADA,37064.00
THEMIS MULTIFACTUM,36846.94
EDGAR,35259.00
CB Z,33026.49
FORD MOTOR COMPANY,32084.85
EDUCALOI,29893.50
EN CLAIR SERVICE CONSEIL,29818.77
PAR,25830.00
SAGE CONSULTING,25200.00
AMANDA MILLS,24975.00
KMOTIONS GROUPE CONSEIL EN RH,24910.06
HUGUES THEORET,24855.00
LES CONSULTATIONS JULAUX CONSULTANTS,24840.00
LISE CLOUTIER,24836.60
POSSIBLE IMPOSSIBLE ETC,24834.60
LIONEL ALEVERT,24834.60
STEPHAN MONETTE PES,24800.00
INSTITUT CANADIEN DE RECHERCHE SUR LES MINORITES LINGUISTIQUES,24767.49
PRA,24727.50
JEDWEB,24662.14
CTC TRAINCANADA,24662.14
OPEN STORAGE SOLUTIONS,24514.96
BMB CONSULTING SERVICES,24408.00
376455 CANADA OPERATING AS SOUND VENTURE PRODUCTIONS,24362.80
PARRIAGGROUP,24323.25
INGRIDE ROY,24144.75
MDOS CONSULTING,24144.75
CANADIAN PARENTS FOR FRENCH,21750.00
LANDRY MICRO SOLUTIONS,21735.00
TEKNION,21645.06
UNIVERSITE DOTTAWA,20695.50
VURTUR COMMUNICATIONS GROUP,20695.50
THE TRI GROUP,20385.07
4IMPRINT,20317.22
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER CLIC,20230.00
MARY FRANCOLI PHD,20000.00
KAMELEONS CIE SOLUTIONS DESIGN,19976.91
CORPORATE RESEARCH ASSOCIATES,19915.00
CORASADIE CONSULTING,19831.50
CRESTVIEW STRATEGY,19645.00
JPOCOCK RESEARCH CONSULTANT,19541.50
QUORUS CONSULTING GROUP,19012.25
JEAN FRANCOIS LACHAPPELLE,17596.93
ERGOWORKS CANADA,16983.11
ST JOSEPH PRINT GROUP ST JOSEPH COMMUNICATIONS,16133.29
LES SERVICES LINGUISTIQUES VERSACOM,15330.00
GOSS GILROY,15034.69
DIANE LANTEIGNE,15000.00
FORMAION MAJ,14918.01
KORN FERRY,14849.71
MONDO IN,14525.17
IAN ROSS,14000.00
CMG OFFICE INTERIORS,13456.47
NICOLAS M ROULEAU SOCIETE PROFESSIONNELLE,13340.65
GROUPE ONSCOPE,12264.00
ADR EDUCATION,11828.28
COPEM,11718.00
AUSPICE SAFETY,11680.31
3486753 CANADA KIPOZA,10731.00
PAMELA RISEBOROUGH COMMUNICATIONS CONSULTING,10546.67
STJOSEPH COMMUNICATIONS,10093.66
R E GILMORE INVESTMENTS GROUP,10002.83
NARRATIVE RESEARCH,9861.00
GUY PATENAUDE,9198.00
JMP CONSULTANTS,9198.00
FAWCETT FILE STORAGE SYSTEMS,8765.69
DENISE PERRIER COACHING,8663.33
SERGE GAUDET,8000.00
STEVENSON WRITERS,7665.00
MARKUS G CONSULTING,4599.00
