vendor_normalized,sum_effective_value
MANIFEST COMMUNICATIONS,15009629.54
COSSETTE COMMUNICATIONS,12870089.55
MANIFEST COMMUNICATION,12295530.00
AMITA,8961106.96
MICROSOFT CANADA,7869939.24
NISHA TECHONOLOGIES,6383188.08
LUMINA IT,4773700.10
ADRM TECHNOLOGY CONSULTING,4304070.56
MASHA KRUPP,4000000.00
ECOLE DE LANGUES LA CITE,3897145.15
MASHA KRUPP TRANSLATION GROUP,3879762.44
ITEX,3436928.35
KPMG,2870302.81
MAXSYS STAFFING AND CONSULTING,2786839.75
RA MALATEST ASSOCIATES,2692353.65
ACART COMMUNICATIONS,2662269.44
CORADIX TECHNOLOGY CONSULTING,2632585.25
N12 CONSULTING,2415674.48
CANADIAN CORPS OF COMMISSIONAIRES,2344382.37
WORLDREACH SOFTWARE,2330068.14
QMR,2284235.28
BELL CANADA,2249736.49
TERAMACH TECHNOLOGIES,2019897.35
CENTRE DE FORMATION LINGUISTIC CARON,2000000.00
SOCIETE GAMMA,2000000.00
LIONBRIDGE,2000000.00
LES TRADUCTIONS TESSIER,2000000.00
CBCI TELECOM,1983580.93
BANFIELD SEGUIN,1936396.63
NATIONAL SECURITY AGENCY NSA,1896564.00
DMTI SPATIAL,1871865.80
EXCEL HUMAN RESOURCES,1809982.93
SHARP ELECTRONICS,1780062.59
HEWLETT PACKARD,1700524.13
PROFESSIONAL COMPUTER,1635684.40
SOLANA NETWORKS,1628580.00
EBSCO CANADA,1560701.26
TELUS CANADA,1467815.33
DELL COMPUTER,1448582.39
ESRI,1447046.59
ARTEMP PERSONNEL SERVICES,1377057.36
CORRECTIONAL SERVICES,1370670.06
RICOH,1330560.95
THE HUNTER COURCHENE CONSULTING,1267303.59
R A MALATEST ASSOCIATES,1260000.00
EMCON EMANATION CONTROL,1246563.04
CARON TRAINING CENTRE,1222285.41
ALTIS HUMAN RESOURCES,1169964.59
WORKDYNAMICS TECHNOLOGIES,1166500.78
CORRECTIONAL SERVICES CANADA,1147903.94
DAMA CONSULTING SERVICES,1135824.00
HILL KNOWLTON CANADA,1114982.30
TIREE,1091104.67
THE CANADIAN PRESS,1064139.40
CISTEL TECHNOLOGY,1029123.46
SAMSON ASSOCIATES,975474.42
THE MASHA KRUPP TRANSLATION,963766.89
IHS GLOBAL,905540.61
BELL DISTRIBUTION,894383.70
ELECTRONIC WAREFARE ASSOCIATES,887702.97
XEROX,870398.72
CARLO MORSELLI,818874.40
RAYMOND CHABOT GRANT THORNTON CONSULTING,784975.00
UNIVERSITY OF BRITISH COLUMBIA,763223.07
MAPLESOFT CONSULTING,762517.08
ACT,744177.24
MODIS CANADA,742144.01
GARTNER,734474.57
CBCI TELECOM CANADA,720107.43
DELOITTE AND TOUCHE,690070.61
ALLAN JOYNER PRODUCTIONS,681657.23
IPSS,667657.60
INTERNATIONAL SAFETY RESEARCH,660485.00
COMPLIANCE STRATEGY GROUP,656442.26
IVANS CAMERA,652925.96
BLOOMBERG FINANCE,642336.86
SHI CANADA,621109.24
MAXSYS,606420.12
EKOS RESEARCH ASSOCIATES,595423.60
IBISKA TELECOM,583039.63
RAYMOND CHABOT GRANT THORNTON,567263.18
CARAHSOFT TECHNOLOGY,561252.62
DALIAN ENTERPRISES,547266.09
RANDSTAD,537487.08
GOSS GILROY,532598.59
WILLS TRANSFER,524868.83
6233902 CANADA,517992.00
IBM CANADA,508000.64
PRINTERS PLUS,505194.89
LANSDOWNE TECHNOLOGIES,503010.95
AVI SPL CANADA,498309.50
MARS DISCOVERY DISTRICT,497671.03
AON REED STENHOUSE,470504.94
SAS INSTITUTE,463054.13
NORTHUMBRIA UNIVERSITY CENTRE FOR FORENSIC SCIENCE,449343.70
BDO CANADA,445642.34
BYTOWN CATERING,423757.50
THE ACCESS INFORMATION AGENCY,422230.89
CISION CANADA,416126.00
SB SECURITY GOVERNANCE GROUP,415207.20
PHIRELIGHT SECURITY SOLUTIONS,415206.01
MANPOWER SERVICES CANADA,408156.00
MARKETWIRE,405449.60
GELDER GINGRAS AND ASSOCIATES,400121.20
ALCEA TECHNOLOGIES,399692.30
PHIRELIGHT,394370.00
THE AIM GROUP,392788.00
MARTIN BOUCHARD,387990.40
FOREST COMMUNICATIONS,387930.13
CYGNOS,383961.88
AURESCO CONSULTING,380245.00
MURRAY MANAGEMENT CONSULTING,379680.00
KONICA MINOLTA BUSINESS SOLUTIONS,366492.98
OXFORD ANALYTICA,360530.66
VMWARE,358162.44
HARRY CUMMINGS ASSOCIATES,357865.35
MAXSYS STAFFING CONSULTING,357080.00
MAVERIN,356967.00
CLA PERSONNEL,356470.52
DOLOMITE NETWORKS,355385.00
MEDIA Q IN,355243.75
ROGERS,355024.92
OVIK,355005.46
NOVA VISUAL PRODUCTS,348976.53
SECURE TECHNOLOGIES INTL,341979.91
DONNA CONA,337380.19
IT NET CONSULTANTS,333350.00
H AND K COMMUNICATIONS,332065.57
JUNO RISK SOLUTIONS,329110.24
ERNST YOUNG,327318.06
COMBAT NETWORKS,316952.14
STANTEC,307117.05
CLAPERSONNEL,305665.00
IHS JANES INFORMATION GROUP,303706.71
ROYAL UNITED SERVICES INSTITUTE,303518.11
TRM TECHNOLOGIES,297950.00
PROTAK CONSULTING GROUP,293235.00
CAPITAL TRAITEUR MONTREAL,287610.24
ENVIRONICS RESEARCH GROUP,282667.30
TRANSPOLAR TECHNOLOGY,269537.25
TELECOM COMPUTER SERVICES,266826.81
ECONOLODGE,256268.25
PRICEWATERHOUSE COOPERS,247526.50
INTERACTIVE AUDIO VISUAL,240160.22
NORTHERN MICRO,239476.47
PRINCE ALBERT GRAND COUNCIL HOLDING,234105.78
SOFTCHOICE,228337.50
ZENTRA,228268.91
CONTRACT COMMUNITY,227982.64
HALLUX CONSULTING,226113.00
CANADIAN ASSOCIATION FOR PUBLIC ALERTING AND NOTIFICATION,226000.00
CLICK INTO,219977.39
GALDOS SYSTEMS,219220.00
HAN MARTIN ASSOCIATES,215875.12
BURA SOLUTIONS,215320.48
HACKETT CONSULTING,213488.64
THE INFO TECH RESEARCH GROUP,212087.50
INSTITUTE ON GOVERNANCE,211910.24
IPSOS PARTNERSHIP,209249.60
CALIAN,209072.60
SIMNER,209050.00
DARE HUMAN RESOURCES,207133.50
AEROPORTS DE MONTREAL,206354.38
PRESS NEWS,204019.20
TARBELL FACILITATION NETWORK,203721.81
DWP SOLUTIONS,203400.00
SOCIETE DU PALAIS DES CONGRES,200264.76
ANPER MANAGEMENT CONSULTANT INV,200123.00
COMMTECH,199985.53
J SIMKINS ASSOCIATES,198669.00
TAG HR,197875.46
MEDIA Q,197750.00
SANDRA DELARONDE,195879.11
JOHN WILEY SONS,194501.89
THOMAS SCHMIDT,193230.00
WORKPLACE SAFETY AND,192100.00
PRAIRIE RESEARCH ASSOCIATES,191975.00
LABOR TEK PERSONNEL SERVICES,190292.36
PUBLIC POLICY FORUM,189919.10
RISK SCIENCES INTERNATIONAL,189698.75
EMERALD GROUP PUBLISHING,188515.22
THE RIGHT DOOR CONSULTING AND,187580.00
SYSTEMATIX SOLUTIONS,186450.02
INFO LASER,186163.16
HILL AND KNOWLTON STRATEGIES CANADA,186031.90
GRAYBRIDGE INTERNATIONAL CONSULTING,185420.81
GEVCINTERACTIVE,184905.00
